0,Carnegie Mellon University (CMU),675,634,0.261829652997,94,3.8,3.92,4.0,159.0,165.0,168.0,165.0,169.0,170.0
1,"University Of Washington, Seattle (UW)",641,614,0.242671009772,121,3.8075,3.935,3.99,158.0,162.0,166.0,165.5,169.0,170.0
2,Stanford University,512,505,0.186138613861,88,3.815,3.99,4.0,159.0,163.0,167.5,163.0,167.0,169.5
3,"University Of California, Berkeley (UCB)",441,376,0.234042553191,72,3.82,3.9,4.0,157.0,163.0,167.0,167.0,168.0,170.0
4,"University Of Illinois, Urbana-Champaign (UIUC)",380,345,0.527536231884,50,3.83,3.9,3.96,155.0,158.0,162.0,164.0,168.0,170.0
5,Cornell University,378,341,0.310850439883,51,3.85,3.935,3.9825,157.25,162.5,165.0,165.5,168.5,170.0
6,"University Of California, San Diego (UCSD)",371,281,0.306049822064,36,3.625,3.805,3.9625,154.75,161.0,163.75,165.0,168.5,170.0
7,"University Of Maryland, College Park (UMD)",361,282,0.464539007092,33,3.6,3.7,3.81,156.0,162.0,165.0,163.0,166.0,168.0
8,Massachusetts Institute Of Technology (MIT),350,330,0.266666666667,47,3.74,3.9,3.975,156.5,162.0,166.0,166.5,169.0,170.0
9,Georgia Institute Of Technology (GTech),334,249,0.534136546185,48,3.605,3.74,3.8575,154.25,158.5,162.75,166.0,168.0,169.0
10,"University Of Wisconsin, Madison",291,286,0.447552447552,51,3.6,3.83,3.91,155.75,158.0,162.25,164.0,168.0,170.0
11,Columbia University,270,221,0.190045248869,31,3.92,4.0,4.0,161.5,167.0,170.0,165.5,169.0,169.5
12,University Of Southern California (USC),262,153,0.588235294118,33,3.7375,3.835,3.93,154.75,158.0,166.5,166.75,169.0,170.0
13,Princeton University,262,259,0.289575289575,39,3.6625,3.82,3.985,160.25,164.0,167.75,164.25,168.0,168.0
14,"University Of California, Irvine (UCI)",227,150,0.56,31,3.4,3.61,3.72,153.25,155.0,161.0,163.0,166.0,168.0
15,"University Of California, Santa Barbara (UCSB)",208,180,0.366666666667,30,3.55,3.68,3.88,153.0,156.0,163.5,163.5,165.0,169.0
16,SUNY Stony Brook,155,138,0.688405797101,30,3.5,3.635,3.7775,150.0,154.0,160.5,162.0,163.0,165.0
17,University Of Central Florida (UCF),111,88,0.954545454545,31,3.2375,3.535,3.795,146.25,150.5,158.0,162.0,163.5,166.0
